support,pattern
743,['248']
630,['387']
546,['118']
480,['473']
433,['317']
395,['374']
393,['458']
376,['60']
352,['67']
310,['38']
295,['84']
273,['98']
238,['390']
227,['88']
225,['181']
218,['93']
218,['116']
213,['298']
206,['3']
200,['18']
185,['832']
185,['752']
182,['25']
174,['190']
173,['45']
171,['9']
170,['797']
162,['174']
160,['563']
158,['543']
149,['1044']
144,['1119']
141,['838']
141,['339']
141,['1836']
137,['496']
136,['499']
133,['479']
127,['435']
126,['501']
125,['627']
124,['34']
122,['488']
121,"['1836', '496']"
120,['439']
118,['418']
118,['117']
110,['474']
110,['355']
108,['462']
108,['325']
108,['1102']
106,['601']
104,['526']
101,['829']
101,['51']
100,['656']
98,['1650']
97,['827']
96,['416']
95,['559']
95,['370']
95,['180']
95,['1393']
93,['745']
93,['453']
93,['1125']
92,['204']
92,['134']
91,['193']
90,['36']
88,['1049']
87,['1029']
86,['187']
84,['619']
81,['177']
80,['617']
80,['487']
6,"['387', '84']"
3,"['248', '473']"
1,"['248', '832']"
1,"['118', '98']"
0,"['1044', '435']"
