support,pattern
316,['84']
234,['362']
226,['28']
222,['326']
196,"['326', '6']"
196,['36']
190,['299']
187,['453']
186,['150']
166,['443']
164,['138']
160,['1261']
149,['288']
147,['987']
145,['323']
143,['11']
141,['194']
138,['909']
137,['162']
136,['1010']
132,['458']
126,['339']
124,['233']
122,"['284', '298']"
122,['43']
121,['21']
117,['439']
117,['27']
115,['181']
113,['893']
113,['755']
112,['479']
110,['205']
110,['174']
104,['982']
104,['32']
103,['211']
102,['838']
100,['255']
99,['481']
99,['418']
99,['191']
98,['590']
98,['330']
98,['225']
98,['1129']
97,['56']
97,['424']
96,['946']
94,['325']
93,['1183']
91,['767']
91,['718']
89,['973']
88,['45']
87,['1044']
86,['359']
85,['690']
85,['625']
85,['497']
84,['382']
84,['188']
84,['1043']
75,"['190', '376']"
35,"['25', '6']"
18,"['6', '60']"
17,"['6', '67']"
14,"['25', '67']"
11,"['234', '6']"
10,"['105', '25']"
5,"['190', '25']"
5,"['105', '190']"
